			AGREE(back,nonlocal)	AGREE(front,local)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
Gye	Gyenek	0	0	0	0	0	0	0	0	0	0	0
Vamélelt	Vaméleltnak	0	0	1	1	1	1	0	0	0	1	0
Vamélelt	Vaméleltnek	1	1	0	0	0	0	0	0	0	0	0
Kállém	Kállémnak	0	0	1	1	0	0	1	0	0	0	0
Kállém	Kállémnek	1	1	0	0	0	0	0	0	0	0	0
mardeny	mardenynak	0	0	1	1	1	0	0	1	0	0	0
mardeny	mardenynek	1	1	0	0	0	0	0	0	0	0	0
gázzezis	gázzezisnak	0	0	1	0	0	1	0	0	1	0	0
gázzezis	gázzezisnek	1	1	0	0	0	0	0	0	0	0	0
kicc	kiccnak	0	0	1	0	0	0	0	0	1	1	0
kicc	kiccnek	1	0	0	0	0	0	0	0	0	0	0
Árargen	Árargennak	0	0	1	1	1	0	0	1	0	0	0
Árargen	Árargennek	1	1	0	0	0	0	0	0	0	0	0
káres	káresnak	0	0	1	1	1	0	0	0	1	0	0
káres	káresnek	1	1	0	0	0	0	0	0	0	0	0
Grarki	Grarkinak	1	0	1	0	0	0	0	0	0	0	0
Grarki	Grarkinek	0	1	0	0	0	0	0	0	0	0	0
káteny	kátenynak	0	0	1	1	1	0	0	1	0	0	0
káteny	kátenynek	1	1	0	0	0	0	0	0	0	0	0
dakelc	dakelcnak	1	0	1	1	1	0	0	0	1	1	0
dakelc	dakelcnek	0	1	0	0	0	0	0	0	0	0	0
óndiszles	óndiszlesnak	0	0	1	1	1	1	0	0	1	0	0
óndiszles	óndiszlesnek	1	1	0	0	0	0	0	0	0	0	0
Odvidt	Odvidtnak	0	0	1	0	0	0	0	0	0	1	0
Odvidt	Odvidtnek	1	1	0	0	0	0	0	0	0	0	0
Ogyet	Ogyetnak	0	0	1	1	1	0	0	0	0	0	0
Ogyet	Ogyetnek	1	1	0	0	0	0	0	0	0	0	0
Csútotibb	Csútotibbnak	1	0	1	0	0	0	1	0	0	1	0
Csútotibb	Csútotibbnek	0	1	0	0	0	0	0	0	0	0	0
Alérny	Alérnynak	0	0	1	1	0	0	0	1	0	1	0
Alérny	Alérnynek	1	1	0	0	0	0	0	0	0	0	0
fólitt	fólittnak	0	0	1	0	0	0	0	0	0	1	0
fólitt	fólittnek	1	1	0	0	0	0	0	0	0	0	0
álleb	állebnak	0	0	1	1	1	0	1	0	0	0	0
álleb	állebnek	1	1	0	0	0	0	0	0	0	0	0
nyem	nyemnak	0	0	1	1	1	0	1	0	0	0	0
nyem	nyemnek	1	0	0	0	0	0	0	0	0	0	0
Átúngyér	Átúngyérnak	1	0	1	1	0	0	0	1	0	0	0
Átúngyér	Átúngyérnek	0	1	0	0	0	0	0	0	0	0	0
fiz	fiznak	0	0	1	0	0	0	0	0	1	0	0
fiz	fiznek	1	0	0	0	0	0	0	0	0	0	0
Csit	Csitnak	0	0	1	0	0	0	0	0	0	0	0
Csit	Csitnek	1	0	0	0	0	0	0	0	0	0	0
hipt	hiptnak	0	0	1	0	0	0	0	0	0	1	0
hipt	hiptnek	1	0	0	0	0	0	0	0	0	0	0
fómill	fómillnak	1	0	1	0	0	0	0	1	0	1	0
fómill	fómillnek	0	1	0	0	0	0	0	0	0	0	0
ís	ísnak	0	0	1	0	0	0	0	0	1	0	0
ís	ísnek	1	0	0	0	0	0	0	0	0	0	1
Páde	Pádenak	1	0	1	1	1	0	0	0	0	0	0
Páde	Pádenek	0	1	0	0	0	0	0	0	0	0	0
Orim	Orimnak	1	0	1	0	0	0	1	0	0	0	0
Orim	Orimnek	0	1	0	0	0	0	0	0	0	0	0
Trússakens	Trússakensnak	0	0	1	1	1	0	0	0	1	1	0
Trússakens	Trússakensnek	1	1	0	0	0	0	0	0	0	0	0
Havasmem	Havasmemnak	0	0	1	1	1	0	1	0	0	0	0
Havasmem	Havasmemnek	1	1	0	0	0	0	0	0	0	0	0
forórest	forórestnak	0	0	1	1	1	0	0	0	0	1	0
forórest	forórestnek	1	1	0	0	0	0	0	0	0	0	0
érp	érpnak	0	0	1	1	0	0	1	0	0	1	0
érp	érpnek	1	0	0	0	0	0	0	0	0	0	0
kálensel	kálenselnak	0	0	1	1	1	1	0	1	0	0	0
kálensel	kálenselnek	1	1	0	0	0	0	0	0	0	0	0
Jasesztjig	Jasesztjignak	0	0	1	0	0	1	0	0	0	0	0
Jasesztjig	Jasesztjignek	1	1	0	0	0	0	0	0	0	0	0
Szángíszt	Szángísztnak	0	0	1	0	0	0	0	0	0	1	0
Szángíszt	Szángísztnek	1	1	0	0	0	0	0	0	0	0	0
csoill	csoillnak	1	0	1	0	0	0	0	1	0	1	0
csoill	csoillnek	0	1	0	0	0	0	0	0	0	0	0
vosen	vosennak	0	0	1	1	1	0	0	1	0	0	0
vosen	vosennek	1	1	0	0	0	0	0	0	0	0	0
Kéb	Kébnak	0	0	1	1	0	0	1	0	0	0	0
Kéb	Kébnek	1	0	0	0	0	0	0	0	0	0	0
sorgens	sorgensnak	0	0	1	1	1	0	0	0	1	1	0
sorgens	sorgensnek	1	1	0	0	0	0	0	0	0	0	0
Rozeleg	Rozelegnak	0	0	1	1	1	1	0	0	0	0	0
Rozeleg	Rozelegnek	1	1	0	0	0	0	0	0	0	0	0
nyokárik	nyokáriknak	1	0	1	0	0	0	0	0	0	0	0
nyokárik	nyokáriknek	0	1	0	0	0	0	0	0	0	0	0
fer	fernak	0	0	1	1	1	0	0	1	0	0	0
fer	fernek	1	0	0	0	0	0	0	0	0	0	0
avizís	avizísnak	0	0	1	0	0	1	0	0	1	0	0
avizís	avizísnek	1	1	0	0	0	0	0	0	0	0	0
mép	mépnak	0	0	1	1	0	0	1	0	0	0	0
mép	mépnek	1	0	0	0	0	0	0	0	0	0	0
Vávell	Vávellnak	0	0	1	1	1	0	0	1	0	1	0
Vávell	Vávellnek	1	1	0	0	0	0	0	0	0	0	0
számázmé	számázménak	0	0	1	1	0	0	0	0	0	0	0
számázmé	számázmének	1	1	0	0	0	0	0	0	0	0	0
Kázmink	Kázminknak	0	0	1	0	0	0	0	0	0	1	0
Kázmink	Kázminknek	1	1	0	0	0	0	0	0	0	0	0
Rábim	Rábimnak	0	0	1	0	0	0	1	0	0	0	0
Rábim	Rábimnek	1	1	0	0	0	0	0	0	0	0	0
Berszt	Bersztnak	0	0	1	1	1	0	0	0	0	1	0
Berszt	Bersztnek	1	0	0	0	0	0	0	0	0	0	0
Enc	Encnak	0	0	1	1	1	0	0	0	1	1	0
Enc	Encnek	1	0	0	0	0	0	0	0	0	0	0
fagyádebb	fagyádebbnak	0	0	1	1	1	0	1	0	0	1	0
fagyádebb	fagyádebbnek	1	1	0	0	0	0	0	0	0	0	0
búkregér	búkregérnak	0	0	1	1	0	1	0	1	0	0	0
búkregér	búkregérnek	1	1	0	0	0	0	0	0	0	0	0
Kamplitt	Kamplittnak	1	0	1	0	0	0	0	0	0	1	0
Kamplitt	Kamplittnek	0	1	0	0	0	0	0	0	0	0	0
zonyungjés	zonyungjésnak	0	0	1	1	0	0	0	0	1	0	0
zonyungjés	zonyungjésnek	1	1	0	0	0	0	0	0	0	0	0
Kázen	Kázennak	1	0	1	1	1	0	0	1	0	0	0
Kázen	Kázennek	0	1	0	0	0	0	0	0	0	0	0
Agés	Agésnak	0	0	1	1	0	0	0	0	1	0	0
Agés	Agésnek	1	1	0	0	0	0	0	0	0	0	0
vaníbb	vaníbbnak	1	0	1	0	0	0	1	0	0	1	0
vaníbb	vaníbbnek	0	1	0	0	0	0	0	0	0	0	0
unyákim	unyákimnak	0	0	1	0	0	0	1	0	0	0	0
unyákim	unyákimnek	1	1	0	0	0	0	0	0	0	0	0
kvószeles	kvószelesnak	0	0	1	1	1	1	0	0	1	0	0
kvószeles	kvószelesnek	1	1	0	0	0	0	0	0	0	0	0
Sáhiszt	Sáhisztnak	1	0	1	0	0	0	0	0	0	1	0
Sáhiszt	Sáhisztnek	0	1	0	0	0	0	0	0	0	0	0
hástir	hástirnak	1	0	1	0	0	0	0	1	0	0	0
hástir	hástirnek	0	1	0	0	0	0	0	0	0	0	0
Klúdé	Klúdénak	0	0	1	1	0	0	0	0	0	0	0
Klúdé	Klúdének	1	1	0	0	0	0	0	0	0	0	0
mosztakspip	mosztakspipnak	0	0	1	0	0	0	1	0	0	0	0
mosztakspip	mosztakspipnek	1	1	0	0	0	0	0	0	0	0	0
atircs	atircsnak	1	0	1	0	0	0	0	0	1	1	0
atircs	atircsnek	0	1	0	0	0	0	0	0	0	0	0
vatópzell	vatópzellnak	0	0	1	1	1	0	0	1	0	1	0
vatópzell	vatópzellnek	1	1	0	0	0	0	0	0	0	0	0
Hózít	Hózítnak	1	0	1	0	0	0	0	0	0	0	0
Hózít	Hózítnek	0	1	0	0	0	0	0	0	0	0	0
Emb	Embnak	0	0	1	1	1	0	1	0	0	1	0
Emb	Embnek	1	0	0	0	0	0	0	0	0	0	0
Nyeb	Nyebnak	0	0	1	1	1	0	1	0	0	0	0
Nyeb	Nyebnek	1	0	0	0	0	0	0	0	0	0	0
Búzkink	Búzkinknak	0	0	1	0	0	0	0	0	0	1	0
Búzkink	Búzkinknek	1	1	0	0	0	0	0	0	0	0	0
nér	nérnak	0	0	1	1	0	0	0	1	0	0	0
nér	nérnek	1	0	0	0	0	0	0	0	0	0	0
ges	gesnak	0	0	1	1	1	0	0	0	1	0	0
ges	gesnek	1	0	0	0	0	0	0	0	0	0	0
vogyverés	vogyverésnak	0	0	1	1	0	1	0	0	1	0	0
vogyverés	vogyverésnek	1	1	0	0	0	0	0	0	0	0	0
Mónket	Mónketnak	0	0	1	1	1	0	0	0	0	0	0
Mónket	Mónketnek	1	1	0	0	0	0	0	0	0	0	0
karektes	karektesnak	0	0	1	1	1	1	0	0	1	0	0
karektes	karektesnek	1	1	0	0	0	0	0	0	0	0	0
Nyédt	Nyédtnak	0	0	1	1	0	0	0	0	0	1	0
Nyédt	Nyédtnek	1	0	0	0	0	0	0	0	0	0	0
rels	relsnak	0	0	1	1	1	0	0	0	1	1	0
rels	relsnek	1	0	0	0	0	0	0	0	0	0	0
Barrés	Barrésnak	1	0	1	1	0	0	0	0	1	0	0
Barrés	Barrésnek	0	1	0	0	0	0	0	0	0	0	0
vundem	vundemnak	0	0	1	1	1	0	1	0	0	0	0
vundem	vundemnek	1	1	0	0	0	0	0	0	0	0	0
prir	prirnak	0	0	1	0	0	0	0	1	0	0	0
prir	prirnek	1	0	0	0	0	0	0	0	0	0	0
Fársetél	Fársetélnak	0	0	1	1	0	1	0	1	0	0	0
Fársetél	Fársetélnek	1	1	0	0	0	0	0	0	0	0	0
gyorén	gyorénnak	1	0	1	1	0	0	0	1	0	0	0
gyorén	gyorénnek	0	1	0	0	0	0	0	0	0	0	0
Veg	Vegnak	0	0	1	1	1	0	0	0	0	0	0
Veg	Vegnek	1	0	0	0	0	0	0	0	0	0	0
Fonemm	Fonemmnak	0	0	1	1	1	0	1	0	0	1	0
Fonemm	Fonemmnek	1	1	0	0	0	0	0	0	0	0	0
Vazerj	Vazerjnak	0	0	1	1	1	0	0	0	0	1	0
Vazerj	Vazerjnek	1	1	0	0	0	0	0	0	0	0	0
szapoes	szapoesnak	0	0	1	1	1	0	0	0	1	0	0
szapoes	szapoesnek	1	1	0	0	0	0	0	0	0	0	0
holejn	holejnnak	0	0	1	1	1	0	0	1	0	1	0
holejn	holejnnek	1	1	0	0	0	0	0	0	0	0	0
kakep	kakepnak	0	0	1	1	1	0	1	0	0	0	0
kakep	kakepnek	1	1	0	0	0	0	0	0	0	0	0
Fogílkep	Fogílkepnak	0	0	1	1	1	1	1	0	0	0	0
Fogílkep	Fogílkepnek	1	1	0	0	0	0	0	0	0	0	0
kásé	kásénak	1	0	1	1	0	0	0	0	0	0	0
kásé	kásének	0	1	0	0	0	0	0	0	0	0	0
vebb	vebbnak	0	0	1	1	1	0	1	0	0	1	0
vebb	vebbnek	1	0	0	0	0	0	0	0	0	0	0
kanodelt	kanodeltnak	0	0	1	1	1	0	0	0	0	1	0
kanodelt	kanodeltnek	1	1	0	0	0	0	0	0	0	0	0
Mókép	Móképnak	0	0	1	1	0	0	1	0	0	0	0
Mókép	Móképnek	1	1	0	0	0	0	0	0	0	0	0
Kasztrorsik	Kasztrorsiknak	1	0	1	0	0	0	0	0	0	0	0
Kasztrorsik	Kasztrorsiknek	0	1	0	0	0	0	0	0	0	0	0
kózik	kóziknak	1	0	1	0	0	0	0	0	0	0	0
kózik	kóziknek	0	1	0	0	0	0	0	0	0	0	0
Garmeny	Garmenynak	0	0	1	1	1	0	0	1	0	0	0
Garmeny	Garmenynek	1	1	0	0	0	0	0	0	0	0	0
Dóssuktém	Dóssuktémnak	1	0	1	1	0	0	1	0	0	0	0
Dóssuktém	Dóssuktémnek	0	1	0	0	0	0	0	0	0	0	0
Pres	Presnak	0	0	1	1	1	0	0	0	1	0	0
Pres	Presnek	1	0	0	0	0	0	0	0	0	0	0
Ákalill	Ákalillnak	0	0	1	0	0	0	0	1	0	1	0
Ákalill	Ákalillnek	1	1	0	0	0	0	0	0	0	0	0
óltín	óltínnak	1	0	1	0	0	0	0	1	0	0	0
óltín	óltínnek	0	1	0	0	0	0	0	0	0	0	0
fatomszirr	fatomszirrnak	1	0	1	0	0	0	0	1	0	1	0
fatomszirr	fatomszirrnek	0	1	0	0	0	0	0	0	0	0	0
cséncs	cséncsnak	0	0	1	1	0	0	0	0	1	1	0
cséncs	cséncsnek	1	0	0	0	0	0	0	0	0	0	0
tulyzalmebb	tulyzalmebbnak	0	0	1	1	1	0	1	0	0	1	0
tulyzalmebb	tulyzalmebbnek	1	1	0	0	0	0	0	0	0	0	0
makédt	makédtnak	1	0	1	1	0	0	0	0	0	1	0
makédt	makédtnek	0	1	0	0	0	0	0	0	0	0	0
szes	szesnak	0	0	1	1	1	0	0	0	1	0	0
szes	szesnek	1	0	0	0	0	0	0	0	0	0	0
Túskadem	Túskademnak	0	0	1	1	1	0	1	0	0	0	0
Túskadem	Túskademnek	1	1	0	0	0	0	0	0	0	0	0
Feny	Fenynak	0	0	1	1	1	0	0	1	0	0	0
Feny	Fenynek	1	0	0	0	0	0	0	0	0	0	0
Rázmes	Rázmesnak	1	0	1	1	1	0	0	0	1	0	0
Rázmes	Rázmesnek	0	1	0	0	0	0	0	0	0	0	0
Sameténg	Sameténgnak	0	0	1	1	0	1	0	0	0	1	0
Sameténg	Sameténgnek	1	1	0	0	0	0	0	0	0	0	0
halallédt	halallédtnak	0	0	1	1	0	0	0	0	0	1	0
halallédt	halallédtnek	1	1	0	0	0	0	0	0	0	0	0
szens	szensnak	0	0	1	1	1	0	0	0	1	1	0
szens	szensnek	1	0	0	0	0	0	0	0	0	0	0
tátélfet	tátélfetnak	0	0	1	1	1	1	0	0	0	0	0
tátélfet	tátélfetnek	1	1	0	0	0	0	0	0	0	0	0
Áósek	Áóseknak	0	0	1	1	1	0	0	0	0	0	0
Áósek	Áóseknek	1	1	0	0	0	0	0	0	0	0	0
varvém	varvémnak	1	0	1	1	0	0	1	0	0	0	0
varvém	varvémnek	0	1	0	0	0	0	0	0	0	0	0
Stengy	Stengynak	0	0	1	1	1	0	0	0	0	1	0
Stengy	Stengynek	1	0	0	0	0	0	0	0	0	0	0
kalev	kalevnak	0	0	1	1	1	0	0	0	0	0	0
kalev	kalevnek	1	1	0	0	0	0	0	0	0	0	0
ronszálméft	ronszálméftnak	0	0	1	1	0	0	0	0	0	1	0
ronszálméft	ronszálméftnek	1	1	0	0	0	0	0	0	0	0	0
vinsz	vinsznak	0	0	1	0	0	0	0	0	1	1	0
vinsz	vinsznek	1	0	0	0	0	0	0	0	0	0	0
Bálalehn	Bálalehnnak	0	0	1	1	1	0	0	1	0	1	0
Bálalehn	Bálalehnnek	1	1	0	0	0	0	0	0	0	0	0
Kes	Kesnak	0	0	1	1	1	0	0	0	1	0	0
Kes	Kesnek	1	0	0	0	0	0	0	0	0	0	0
Sonamém	Sonamémnak	0	0	1	1	0	0	1	0	0	0	0
Sonamém	Sonamémnek	1	1	0	0	0	0	0	0	0	0	0
Hambiny	Hambinynak	0	0	1	0	0	0	0	1	0	0	0
Hambiny	Hambinynek	1	1	0	0	0	0	0	0	0	0	0
bátoszpepp	bátoszpeppnak	0	0	1	1	1	0	1	0	0	1	0
bátoszpepp	bátoszpeppnek	1	1	0	0	0	0	0	0	0	0	0
bárges	bárgesnak	0	0	1	1	1	0	0	0	1	0	0
bárges	bárgesnek	1	1	0	0	0	0	0	0	0	0	0
mázádiny	mázádinynak	0	0	1	0	0	0	0	1	0	0	0
mázádiny	mázádinynek	1	1	0	0	0	0	0	0	0	0	0
Vágéncs	Vágéncsnak	1	0	1	1	0	0	0	0	1	1	0
Vágéncs	Vágéncsnek	0	1	0	0	0	0	0	0	0	0	0
fárzes	fárzesnak	0	0	1	1	1	0	0	0	1	0	0
fárzes	fárzesnek	1	1	0	0	0	0	0	0	0	0	0
Andebb	Andebbnak	0	0	1	1	1	0	1	0	0	1	0
Andebb	Andebbnek	1	1	0	0	0	0	0	0	0	0	0
tósorem	tósoremnak	0	0	1	1	1	0	1	0	0	0	0
tósorem	tósoremnek	1	1	0	0	0	0	0	0	0	0	0
askeny	askenynak	0	0	1	1	1	0	0	1	0	0	0
askeny	askenynek	1	1	0	0	0	0	0	0	0	0	0
rórtékk	rórtékknak	0	0	1	1	0	0	0	0	0	1	0
rórtékk	rórtékknek	1	1	0	0	0	0	0	0	0	0	0
Josmig	Josmignak	0	0	1	0	0	0	0	0	0	0	0
Josmig	Josmignek	1	1	0	0	0	0	0	0	0	0	0
Famarehn	Famarehnnak	0	0	1	1	1	0	0	1	0	1	0
Famarehn	Famarehnnek	1	1	0	0	0	0	0	0	0	0	0
Szozmitild	Szozmitildnak	0	0	1	0	0	1	0	0	0	1	0
Szozmitild	Szozmitildnek	1	1	0	0	0	0	0	0	0	0	0
Vótim	Vótimnak	0	0	1	0	0	0	1	0	0	0	0
Vótim	Vótimnek	1	1	0	0	0	0	0	0	0	0	0
kes	kesnak	0	0	1	1	1	0	0	0	1	0	0
kes	kesnek	1	0	0	0	0	0	0	0	0	0	0
káde	kádenak	0	0	1	1	1	0	0	0	0	0	0
káde	kádenek	1	1	0	0	0	0	0	0	0	0	0
niny	ninynak	0	0	1	0	0	0	0	1	0	0	0
niny	ninynek	1	0	0	0	0	0	0	0	0	0	0
Kosip	Kosipnak	1	0	1	0	0	0	1	0	0	0	0
Kosip	Kosipnek	0	1	0	0	0	0	0	0	0	0	0
szóledt	szóledtnak	0	0	1	1	1	0	0	0	0	1	0
szóledt	szóledtnek	1	1	0	0	0	0	0	0	0	0	0
Get	Getnak	0	0	1	1	1	0	0	0	0	0	0
Get	Getnek	1	0	0	0	0	0	0	0	0	0	0
duhirn	duhirnnak	1	0	1	0	0	0	0	1	0	1	0
duhirn	duhirnnek	0	1	0	0	0	0	0	0	0	0	0
káslen	káslennak	1	0	1	1	1	0	0	1	0	0	0
káslen	káslennek	0	1	0	0	0	0	0	0	0	0	0
debb	debbnak	0	0	1	1	1	0	1	0	0	1	0
debb	debbnek	1	0	0	0	0	0	0	0	0	0	0
Nyórolles	Nyórollesnak	0	0	1	1	1	0	0	0	1	0	0
Nyórolles	Nyórollesnek	1	1	0	0	0	0	0	0	0	0	0
Kes	Kesnak	0	0	1	1	1	0	0	0	1	0	0
Kes	Kesnek	1	0	0	0	0	0	0	0	0	0	0
Kosterért	Kosterértnak	0	0	1	1	0	1	0	0	0	1	0
Kosterért	Kosterértnek	1	1	0	0	0	0	0	0	0	0	0
Hoprótszer	Hoprótszernak	0	0	1	1	1	0	0	1	0	0	0
Hoprótszer	Hoprótszernek	1	1	0	0	0	0	0	0	0	0	0
kálatím	kálatímnak	1	0	1	0	0	0	1	0	0	0	0
kálatím	kálatímnek	0	1	0	0	0	0	0	0	0	0	0
éjzs	éjzsnak	0	0	1	1	0	0	0	0	1	1	0
éjzs	éjzsnek	1	0	0	0	0	0	0	0	0	0	0
Golospill	Golospillnak	1	0	1	0	0	0	0	1	0	1	0
Golospill	Golospillnek	0	1	0	0	0	0	0	0	0	0	0
vordidé	vordidénak	0	0	1	1	0	1	0	0	0	0	0
vordidé	vordidének	1	1	0	0	0	0	0	0	0	0	0
mes	mesnak	0	0	1	1	1	0	0	0	1	0	0
mes	mesnek	1	0	0	0	0	0	0	0	0	0	0
Anúgzem	Anúgzemnak	0	0	1	1	1	0	1	0	0	0	0
Anúgzem	Anúgzemnek	1	1	0	0	0	0	0	0	0	0	0
bóséjt	bóséjtnak	0	0	1	1	0	0	0	0	0	1	0
bóséjt	bóséjtnek	1	1	0	0	0	0	0	0	0	0	0
dolegerc	dolegercnak	0	0	1	1	1	1	0	0	1	1	0
dolegerc	dolegercnek	1	1	0	0	0	0	0	0	0	0	0
drukáppén	drukáppénnak	0	0	1	1	0	0	0	1	0	0	0
drukáppén	drukáppénnek	1	1	0	0	0	0	0	0	0	0	0
Plokvé	Plokvénak	0	0	1	1	0	0	0	0	0	0	0
